target_definition,model,mapping,domain,weighting,metric,n_repeats,mean,sd,min,q25,median,q75,max
survey_year_adjusted_50000,logistic_regression,raw,ood_test,survey_weighted,ece,10,0.10287622388558426,0.0014462702992843782,0.09991002582622764,0.10215333501184265,0.10331976234748479,0.10356474981440675,0.10506491357524728
survey_year_adjusted_50000,logistic_regression,raw,ood_test,survey_weighted,calibration_intercept,10,0.6889456697321744,0.008708156217423614,0.671663885929847,0.6873367197900108,0.6910680650027488,0.6936890659069153,0.7000911863999094
survey_year_adjusted_50000,logistic_regression,raw,ood_test,survey_weighted,calibration_slope,10,0.9012263602340804,0.007055129657421171,0.8928240769016208,0.8953728025136298,0.90058666751306,0.9053901774168125,0.9129639592011686
survey_year_adjusted_50000,logistic_regression,raw,ood_test,survey_weighted,hcep_080,10,0.06973917374950973,0.0010773251204614746,0.06822659879873715,0.06890991878928988,0.06968707376505096,0.0703877416625959,0.07139898398153657
survey_year_adjusted_50000,logistic_regression,raw,ood_test,survey_weighted,hcep_090,10,0.030284494421975866,0.0006849777845181267,0.02861360653546606,0.03013075133128776,0.03039053233130989,0.030787252395355236,0.03087052234891786
survey_year_adjusted_50000,logistic_regression,raw,ood_test,survey_weighted,hcep_095,10,0.011400394319488806,0.0007039602977734276,0.010123050736032622,0.011028423936085685,0.01148719011793201,0.01194748791679206,0.012323453007426904
survey_year_adjusted_50000,logistic_regression,raw,ood_test,survey_weighted,aurc,10,0.1128434073051687,0.0005714401417486185,0.11192709467358608,0.11245459819204831,0.1131181507676231,0.11324957839017474,0.11349773173439051
survey_year_adjusted_50000,logistic_regression,raw,ood_test,survey_weighted,excess_aurc,10,0.08460647870781415,0.0005422180268538088,0.08361280406905806,0.0842778954800455,0.084837380985767,0.08501046120406501,0.08515131005782617
survey_year_adjusted_50000,logistic_regression,raw,ood_test,unweighted,prevalence,10,0.5263600000000002,1.1702778228589004e-16,0.52636,0.52636,0.52636,0.52636,0.52636
survey_year_adjusted_50000,logistic_regression,raw,ood_test,unweighted,auroc,10,0.8764986722695302,0.00033216415336512125,0.8761557594270133,0.876257292293968,0.8762954326122185,0.8767423583524615,0.8770239203030743
survey_year_adjusted_50000,logistic_regression,raw,ood_test,unweighted,average_precision,10,0.8758618967759334,0.00043631060128206524,0.8753897857213164,0.8755785391224988,0.8756915063400295,0.876067354215887,0.8767375843063185
survey_year_adjusted_50000,logistic_regression,raw,ood_test,unweighted,pr_skill,10,0.737906208884244,0.0009211861356347965,0.7369094369591175,0.7373079535564963,0.73754646216542,0.7383399928550947,0.7397550551184835
survey_year_adjusted_50000,logistic_regression,raw,ood_test,unweighted,brier,10,0.15466181202521037,0.00038396974709676527,0.15410940314295896,0.15431012433357316,0.15476131748192254,0.15495466599346375,0.15511143591941523
survey_year_adjusted_50000,logistic_regression,raw,ood_test,unweighted,log_loss,10,0.476121430541652,0.0012298658737999266,0.4741789385264173,0.4751971980043756,0.47650440512145387,0.4769166986720925,0.47755389368467016
survey_year_adjusted_50000,logistic_regression,raw,ood_test,unweighted,ece,10,0.09861159569504344,0.001321970383642047,0.09609635955983832,0.09823132226800317,0.0985012503620055,0.09950339725612863,0.10070655805073235
survey_year_adjusted_50000,logistic_regression,raw,ood_test,unweighted,calibration_intercept,10,0.6773440541381198,0.008857799530077738,0.6610075543076406,0.6751982118594235,0.6769816119512859,0.6846361649267757,0.6891898530761931
survey_year_adjusted_50000,logistic_regression,raw,ood_test,unweighted,calibration_slope,10,0.9083616381201777,0.006984067769159062,0.8989345623990246,0.9026088017646542,0.9087639684348447,0.9120430919934772,0.9194243456315859
